Title,Content,Stars
Dealt with Hannah from Homeprotect,Dealt with Hannah from Homeprotect to arrange new property insurance. All the way through the process Hannah was polite and courteous. Explained everything thoroughly.  Even called back on the day and time that was arranged. (very rare)! Would certainly recommend Hannah and Homeprotect if you are looking to insure.,5
Really easy to complete and was…,Really easy to complete and was available when I returner few weeks later,5
Easy insurance cover,Easy process. Competitive price and good insurance cover,5
Simple to follow procedure.,Simple to follow procedure.,5
Easy to use and very competitive price,Easy to use and very competitive price,5
Setting up policy was easy and value…,Setting up policy was easy and value for money,5
Very simple thank you,Very simple thank you,5
easy and straightforward,easy and straightforward,5
Responded to and progressed my claim…,Responded to and progressed my claim for storm damage with understanding and efficiency.,5
easy to deal and fill in all the…,"easy to deal and fill in all the information, also managed to get a good price",5
Very satisfied with website and quote.,Very satisfied with website and quote.,5
Garima handled my query in an…,Garima handled my query in an empathetic and professional manner.  A credit to her company and knew exactly what she was doing.  Made my call very easy.  Five star service.  Thank you.,5
Home protect left me reassured with my policy,"Home protect were easy to deal with, the quotation process was simple and well laid out, this was enhanced with great customer support, who answered my questions and left me reassured.",5
Easy to use website with a cost half my…,Easy to use website with a cost half my auto-renewal,5
Excellent,"Very polite, helpful, respectful, very pleasant and friendly.",5
Jess very helpful speaking in person…,Jess very helpful speaking in person and completing my new policy  Online chat quick and helpful,5
easy to use,"easy to use, right level of cover",5
smooth easy online quote.,smooth easy online quote.,5
Pretty effective,"I haven't had to make a claim, but it would be through aviva so it should be okay. I can only comment about the admin side of things and I have just had to ask them to sort something out on my account. It was done within 24 hours with good communication, so that has to be acknowledged.",5
Questions clear and easy to answer,"Questions clear and easy to answer.  Easy to complete.  Had a couple of queries on chat, which helped",5
Poor service,Poor service. Very slow to get through on the phone to renew. You put in a load of information wait about 8 minutes listening to muzak and then just get cut off.   In the time it took me to phone again and get through I was able to write this review and go on MoneySupermarket and set up an alternative policy and save £80. So HomeProtect lost my business due to poor customer service.   Not an unusual story. No one wants to actually talk to people. They do this to push you towards automatically renewal in the hope you do not notice your price rocketing up by 25% per year.  Avoid.,1
Quick and easy to complete,"Quick and easy to complete , policy covers what I want it too.",5
Home insurance with a heart,"To date Homeprotect have provided a hassle free service. Their rates are competetive,but their aftercare is excellent something not previously experienced with previous vendors.",5
Good value,"Good value , easy online quotation",4
Website easy to follow for a quotation,Website easy to follow for a quotation. Competitive cost and cover.,5
Made an emotional experience easier,Easy and some elements pre-filled,5
Accepted my statements and acknowledged…,Accepted my statements and acknowledged same,5
Company were very helpful,"Company were very helpful, flexible and the outcome was excellent.  Bit of a glitch with the subcontractors not communicating well and notcarriving when they saus they would but Home Protect resolved this problem for me, for which I was grateful",5
Good experience,Arranged buildings and contents  insurance online for my elderly aunt. Easy to follow instructions and website was user friendly. Good experience all round.,5
Easy to follow instructions,Easy to follow instructions. User friendly and straightforward.,5
Easy site to navigate!,"Great company to deal with, highly recommend!",5
Easy to navigate options,Easy to navigate options. Straight forward language.,5
Still waiting,I wrote a review last year.  It was favourable but there was an issue which I highlighted.  A response was given that someone would contact me regarding the issue.  I'm still waiting on that call.,2
Quick & Easy,"Very easy, very efficient. 5*****",5
Great service,"I did a quote online last week. Before I proceeded, I called to ensure everything was correct. I spoke to a gentleman called Frank. He was extremely patient, helpful and professional to make sure the quote met all my requirements. The premium was very competitive.  Thank you",4
Had to call customer services to check…,"Had to call customer services to check some further details, really helpful and knowledgeable,(thankyou Mandy) so straightforward",5
VERY EASY TO NAVIGATE,VERY EASY TO NAVIGATE,5
Kelsey was able to help me with my…,"Kelsey was able to help me with my complex cover effortlessly and was very supportive with my vulnerabilities, nothing was too much bother and time was taken to make sure I fully understood. She was a pleasure to talk to and a credit to the company. Would use again based upon my experience!",5
competitiveforms easy to navigate and…,"forms easy to navigate and precise,price very competitive",5
Easy to use & competitive price,Easy to use & competitive price,5
Great cover,"Great cover, very affordable and straightforward",5
Great customer service,Great customer service. Quick and resolve my query on an online chat,5
Quick and easy.,Quick and easy.,5
Easy to use online set up to purchase…,Easy to use online set up to purchase my new home insurance.,5
They rely on the convenience of auto-renew,I specifically asked them to call me about the renewal - email sent to 'sales'.  They didn't and aurorenewed.  The reason I mailed them was because the renewal quote was much higher than the year before and makes them uncompetitive.  I'll be cancelling the policy on Monday and will take them to the ombudsman if they refuse to refund me   I'd be very careful about doing business with these people,1
Good Price,Very easy to do online.  Good price. I was quoted £200 cheaper than the policy that was due to be renewed in the next month.,5
Easy to apply via our Compare the…,"Easy to apply via our Compare the Market account. Was a good price for the cover we obtained, just have to see if it automatically goes up on next renewal?",5
The service I receive from Homeprotect…,The service I receive from Homeprotect is second to none  Always easy to renew my policy  Excellent company who offer home insurance at a reasonable price,5
Nice and easy to sort Home and Buildings,Simple easy to use website,5
quick and easy,"quick and easy , price didn't increase , unlike others ,as I filled in details.",5
very straightforward,very straightforward,5
There was a certain advisor on the help…,"There was a certain advisor on the help chat. His name was Asikul, he was absolutely fabulous. They listened to my concerns and was really compassionate to help and was also really kind. 100% fantastic customer service from them.",5
The agent I chatted with was very…,"The agent I chatted with was very helpful, but it was not possible to complete my query, but this was no fault of the agent I was conversing with, who was very helpful.",5
Great to  use simple to follow and very…,Great to  use simple to follow and very quick thanks,5
Don’t bother downgrading your policy- it will cost you money…,"My husband has 2 TAG HEUER watches insured, recently sold 1 of them so when I called this company to have 1 removed from the policy they wanted to CHARGE ME £20.11 to have it removed from my policy!!! Honesty with HOMEPROTECT home insurance does NOT pay!!!               After telling H.P.  I was going to raise a complaint with Financial Ombudsman Service, they have removed the £20.11 fee. So don’t be intimidated by these large companies.",1
FABULOUS!!!!!!!!!!,FABULOUS!!!!!,5
Very easy to apply,"Very easy to apply, good guidance on the live chat and the most competitive price",5
The Young Lady I dealt with was really…,"The Young Lady I dealt with was really Helpful, we have a difficult Property Situation with Three Houses on the same Land with family Living in. Full attention and No Quibble of time was experienced, in providing and giving what we needed. Very Profesional, Very Satisfied. Garry Price.",5
The price  and easy of using website,The price  and easy of using website,5
quick and easy to upgrade / alter,quick and easy to upgrade / alter . saved me £400,5
Renewed again with Homeprotect!,"Renewed again with Homeprotect,no-one in the curent insurance market can even get close to Homeprotect for price and ease of renewal.",5
Great service with real people and not web chat bots,Very friendly and helpful call handling agents who quickly transferred me between different departments to answer all my questions.,5
this is the first time I dealt with…,this is the first time I dealt with home protect so far my experience with home protect is excellent . and wishing the same in the future.,5
it was easy and guided me through,it was easy and guided me through,5
Easy to receive quote,Easy to receive quote. Clear what is covered and not covered,5
B&C Insurance,Very nice experience,5
clearly explained and simple to…,clearly explained and simple to recalculate quote,5
insurance…renewal,I allowed you to renew my insurance because your rate was competitive and not much more than inflation higher than last year.  No more to say really.,5
I’m insuring my parents mostly empty…,"I’m insuring my parents mostly empty house for probate purposes. Made a daunting task, less so. Thank you.",5
I wished to renew my annual home…,I wished to renew my annual home insurance and as recommended by many did not want to fall into the auto-renewal trap. I did some research and felt that Homeprotect was a good option.,5
Very efficient and helpful,Very efficient and helpful,5
Straightforward Online Process,Comprehensive policy cover Straightforward Online Process at competitive price,5
Quick and clear,"Quick, easy to contact you to discuss specific details. Clear information on terms and conditions",5
Good value and pleasant to deal with,Good value and pleasant to deal with,5
Simple application process for Home…,Simple application process for Home users who run a business from their property.,5
Misleading insurance quotes,"I insured with Homeprotect last year, and this year looked around as usual for house insurance comparison quotes.  Homeprotect came out with a favourable quote, so I re-insured with them, paid the quoted amount via credit card.  When the credit card bill arrived they'd charged over £91.00 more than I'd paid by credit card.   When challenged, they said that they'd gone by the amount on the autorenewal notice and not the new cheaper quote which I'd found with them - and which I'd paid before the renewal was due.  they then tried to reduce the refund (ie cancel cover) by £142, even though the insurance had only been in place for 3 weeks, stating £50 cancellation for being outside the cooling off period.  However, as I'd only just received the credit card statement (3 wks after I took out the insurance), and realised they'd taken extra money, I had no way of knowing within the 2 week cooling-off period that they'd taken this money without my permission or knowledge.",1
Just swapped my house insurance to…,"Just swapped my house insurance to these guys as LV was getting too expensive for me. Setting it up was, IMO, too complicated with brokers and principles involved.   I hope never to have to claim but the price was good!",3
Escape of water,Escape of water  Pip - my assigned claims advisor was excellent from start to finish making the process seamless. Follow-ups were prompt and the platform to upload material was very easy to use.,5
Quite simple to use and can compare…,Quite simple to use and can compare options,5
good comms on the live chat,good comms on the live chat.  good value quote,5
Stramit roof,"They are not providing insurance for stramit roof, but I had to lose my time to fill the form and call them to find out. What's the point to give option to mark  stramit roof?",1
Easy to follow instructions made my…,Easy to follow instructions made my life easier,5
Easy to use,"Easy to use, clear information about what is included and what is not covered in policy. Quick and simple to use",5
Very detailed but provided clear…,Very detailed but provided clear guidance throughout. Saved all my progress even when navigating back and forth,5
Great prices,"Great prices, professional service with an easy to use on-line system.",5
Unoccupied home insurance,"Easy to use, everything explained along the way. what is and is not covered also fully explained.",5
easy to get quote,easy to get quote,5
Positive experience,"Needed to extend with previous insurance company but missed the date and they were quite unhelpful  - not able to speak to anybody and did not seem keen to keep my custom even though i had been with them for approx 9+ years.   The quote I received from Home Protect was excellent, the application straightforward and all communication since then has been very good.",5
Unable to unsubscribe from this,Unable to unsubscribe,1
Competitive quote,"Competitive quote, easy to complete",5
Off to good start with Home Protect…,"This is my first time with Home Protect Insurance, Online Chats during my quotation were informative and quick responses.  The price is competitive for my home which has mainly Flat Roof and also with History of Flood risk.    Regarding roof types, in my experience many online home insurance providers, ( Direct Line, AVIVA, the comparison sites, etc) do not list the modern membranes for covering flat roofs.ie Trocal, PVC, EPDM. I had to contact insurance companies by phone or online Chat to obtain their equivalent type for quotation purposes.  If I selected 'Other' in many cases my application was declined.  My roof  covering  SIKA Trocal, for many was not listed.   In Online Chat with Homeprotect's agent I was instructed to select Fibreglass, and after that completing my details for the quote was straight forward.",4
Excellent Service,"Homeprotect are a very good company. Professional and focused, they deliver a high quality service and their telephone manner and staff are excellent. I couldn't recommend them more.",5
Going through my home contents…,"Going through my home contents insurance quote and with questions was like a breath of fresh air. Tamara was clear, patient and knowledgeable -  and when I posed questions she wasn't sure about, she went away to check. Good customer service is essential, and her help was a great example of how to deliver well.",5
Easy to use platform,Easy to use platform,5
"Easy, quick and better value than my previous provider","My home insurance renewal gave me the willies so I went to Comparethemarket.com to shop around. Homeprotect came up as the preferred provider and, having compared my previous cover with Homeprotect, and adding a couple of extras, the premium was still better than before. The process for buying was straightforward and the website functionality was first rate - making comparisons, trying different options and adding new info was all very easy.  Explanations for technical details were also very accessible and easy to understand - minimal jargon.",5
Very easy to arrange on my phone,"Very easy to arrange on my phone, all done in 10 minutes.",5
My experience was really good  and very…,My experience was really good  and very helpful staff answered  my  questions very quickly  and solved problem I was having  would recommend company,5
Layout,simplicity of form,4
Just finished buying home insurance for…,"Just finished buying home insurance for an unoccupied property I am currently selling, the sales assistant was very professional and explained every step easily with a level of concise description that was easy to understand. She understood exactly what my requirements where and now my property is correctly insured and I have peace of mind.",5
Poor website,I’ve given a low score because of the poor website design. I wanted to cancel the auto renew part of the policy but I ended up in endless loops trying to find the correct web page. There should just be a link to allow you to do it but obviously they’re not allowing you to cancel it without a fight. I dislike companies that use this tactic to keep your business. I didn’t need to claim or contact home protect so I don’t know what they would be like to deal with. Judging by their lack of a polished website I’m not too hopeful.,2
Great specialist insurance.,"Get renewal documents in good time, give peace of mind that we have cover via FloodRe",5
Excessive compulsory excesses applied,"Excessive compulsory excesses applied. Also the penalty of not only higher premiums, but additional excess just because I was unfortunate enough to lose part of my roof after last years storms. Buildings excess increased from £99 to £299.",3
Helpful and nice,Helpful and nice. Easy to talk to a human being!,5
Very easy to find on the web site very…,Very easy to find on the web site very simple navigation through the form and very quick confirmation and policy documents supplied.,5
Very easy to understand and quote went…,Very easy to understand and quote went through within minutes,5
Easy working through quote application…,Easy working through quote application and easy retrieving quote .,5
READ THE SMALL PRINT!,"Bought monthly home insurance for my late mother's house whilst it was being marketed / sold. After the sale was completed I discovered there was a non-refundable £50 Arrangement and Administration fee to cancel the insurance, along with a vague warning there could be other fees. Ghouls. Would give them 0 stars if I could.",1
Great customer service,"Great customer service, combined with knowledge of the systems, gave me the best price for a renewal. 20-10!",5
fgood value for moneythe forms are easy to…,"the forms are easy to navigate,excellent price.",5
Fairly straightforward completing the…,"Fairly straightforward completing the online form, though my house is not quite standard construction",5
The ladies I spoke to were very helpful…,The ladies I spoke to were very helpful and took their time making sure that everything was right for me. Thank you!,5
Very good 👍Homeprotect is a very great company and…,Homeprotect is a very great company and for me my Property Insurance in February so a year is so very thankful.,5
Efficient and competitive prices,Efficient and competitive prices .  Def recommend.,5
Building & Contents Insurance,I found the process of doing my home insurance fairly straightforward.  The only downfall is doing it initially through Compare the Market and filling all the details in when I get to your site a lot of it I have to repeat.,5
Becafreful what you disclose,"Am going to give 2 stars, here are the reasons, they expect me to fill in all my individual high value items to be specified online, this can be leaked to anyone. they have my address and they have details of the high value items even before you speak to someone! secondly i did a quote online, next day i called to discuss the quote etc, after 15 minutes of waiting and no one answering, I gave up.",2
Lost documents…,"I couldn’t find any paperwork following our house move and wasn’t even sure if we had a policy with Home Protect. But the customer support online chat resolved all my worries swiftly and easily and before the chat had even ended, I had my policy documents in my in box.",5
Excellent on all counts,Very good to deal with and cheapest by far - strongly recommend,5
Easy to apply and great cover provided…,Easy to apply and great cover provided for a very competitive price.,5
Terrible delays and service,Terrible delays and service when making a claim.  We were trying to claim for some damage from a water leak.  7 weeks on we are still waiting.  The response times are slow and we we keep getting information requests that could have been made a the start.  Despite asking for a quote they have offered a settlement based on what their computer says it should cost and won't provide any details as apparently it is market sensitive information.  How this can be is ridiculous.  I would avoid at all costs and pay a bit more for a company whose customer service is good.,1
VERY QUICK AND EASY,VERY QUICK AND EASY,5
The process was logical and straight…,The process was logical and straight forward and the cover was exactly what we were looking for.,5
Clear questions covering all the…,Clear questions covering all the details.,4
Easy experience,Easy experience. Concise questioning without any problems.,4
comprehensive policy details,"comprehensive policy details, easy application",4
Easy and clear instructions,Easy and clear instructions,5
Holiday Home Insurance,"Fine, able to insure holiday home.",5
Awful company,Awful company. I’ve called today to try and report that a bus has reversed onto my house causing damage. I called Home Protect this morning for advise on what to do. I got through the the usual robot on the phone which passes you around the world to waste your time. Then input my details to be asked more irrelevant questions by a robot to then be asked to put my details in again. This happened three times before I just put the phone down as I could speak to anyone. I then went live chat to ask for advise and after 25 mins of waiting gave up. Shocking service and as always they want you to do all the work  and waste all your time whilst they don’t need to pay for staff to help you by picking the phone up and advising you. Sadly it seems to be everywhere now. Luckily for my my renewal is in 17 days so I’ll be cancelling it based on this experience. Currently sat at home with smashed railings outside and a huge hole in  the side of my house and I can’t make the insurance company aware. Please send a refund in the post!!!,1
Easy to deal with a slightly…,Easy to deal with a slightly complicated scenario. Good price.,5
Was looking for an insurer that would…,Was looking for an insurer that would provide cover for more than 60 days of unoccupancy. Homeprotect was the most competitive of the few that would offer cover.,5
I cancelled my policy within the 14 day…,I cancelled my policy within the 14 day cooling down period  as outlined on there terms and conditions. I told homeprotect customer service team . They confirmed that the policy would be cancelled. But the company still kept taking further payments out of my account. Today I had an email to say that the policy was cancelled 5 months later. The  telephone team are not useful nor want to help. They take your money and don’t refund you!,2
easy to understand,easy to understand,5
Very easy to understand the different…,Very easy to understand the different options,5
HOME INSURANCE CANCELLATION WITHOUT NOTICE TO THE CUSTOMER,"Repeated Cancellation Without Notice & Demanding Full Payment Again  I am extremely disappointed with HomeProtect and feel it is important to warn others.  Last year, HomeProtect cancelled our home insurance without any notice, and I was forced to pay the entire annual premium upfront again just to keep our cover in place. I paid it, assuming this was a one-off issue.  However, today I received an email from the Sales Team with an attached letter from the CEO, Mark Eastham, stating that our policy is again cancelled immediately and that our home is no longer protected. The letter provided no explanation, no reason, and no prior warning.  I called HomeProtect straight away and spoke to Sandra. She simply repeated that the policy was cancelled and insisted that if we want to continue cover, we must pay the full annual cost again, as if the previous payment does not exist. When I asked for clarification or justification, she could not explain why the policy was cancelled and appeared not knowledgeable about the company’s own policies or complaints process. The call ended abruptly, and she hung up on me.  So to summarise:  This has now happened twice  No notice given either time  No explanation provided  Told to pay the full premium again  Poor customer service  Complaint handling is unprofessional  This has caused unnecessary stress and has left our home uninsured through no fault of our own.  A home insurance company should offer security, transparency and support — not confusion, cancellation and payment demands.  I strongly advise others to avoid HomeProtect.",1
Very smooth process,Very smooth process,5
Absolutely disgraceful,"Absolutely disgraceful, my mum is in dementia care and while her property is empty I arranged unoccupied insurance. As LPA I was not asked to provide any documentation when paying upfront for the year in full. However few days later I found a more suitable insurance. Trying to cancel the policy under the 14 day window was made very difficult.  When speaking to Natalie this morning I was firstly told I wasn’t allowed to cancel without providing proof of LPA. Which is comical as to when they’re taking your money they don’t need it! I will never use home protect again",1
They are open and honest about the…,They are open and honest about the costs involved the staff are polite and helpful they come on time at the arranged  date and time if needed i would highly recommend them,5
Really helpful representatives….,Really helpful representatives who make ringing up to make changes to your policy a pleasure. Highly recommended,5
Ease of use,"Ease of use, very straightforward",5
He was very helpful and explained everything to me,"He was very helpful and explained everything to me,as I was changing insurance company",5
Easy to follow quote process Happy…,Easy to follow quote process Happy customer,5
Great cover,"Great cover, easy to navigate on line application.",5
A good first impression.,The online process of purchasing new cover was trouble-free and easy to follow. My decision to buy with Homeprotect was also based on the fact that the policy was underwritten by AXA who are a trusted name. The price was also competitive.,5
Easy to complete and excellent price,Easy to complete and excellent price,5
So so straight forward,So so straight forward.  Clear simple English which everyone can understand.  You know exactly what is covered and what you can claim for in the event of a problem. Very kind and helpful  staff on the chat line,5
Easy to set up,Easy to set up,5
Ease and quick response,Very simple and straightforward application process and the price and coverage was an improvement on my previous insurer,5
good cover for fair premium,good cover for fair premium,5
My consultant was pleasant and very…,"My consultant was pleasant and very patient. Anything he wasn't sure of ,he checked. The price was very competitive and reviews very encouraging.",5
Homeprotect this is our 2nd year with…,Homeprotect this is our 2nd year with them  Everything was straight forward had to phone them to check a few things  Then renewed our policy  👍,5
all good no complaints,all good no complaints,4
Easy to deal with.,"Always easy to deal with when doing the annual renewal.  I have been with Homeprotect for about 9 years and have found the service to be good. Property insurance has in recent times become very expensive of course, but Homeprotect premiums remain competitive.",4
Good value appropriate policy,Good value appropriate policy. Call centre was quick and efficient.,5
easy to navigate,easy to navigate,5
Home Protect house insurance,"Easy process and a very fair price, no price hike with the new quote. If they carry on like this then I will continue to insure my house with them.",5
Charged cancellation/admin fee …,"I only wanted home insurance for a few months, so spoke to someone via their chat function about paying monthly and what happens when I cancel. They assured me there would be no cancellation fees etc. However, after cancelling I get charged £50 cancellation fee or admin fee. So be aware that if you want insurance just for a few months, it may work out more expensive than you expect!",2
easy to do and good to be able to check…,easy to do and good to be able to check over the information,5
quick,"quick , and easy to follow good price",5
UK based staff.,UK based staff. They knew the product they were 'selling' but managed to be friendly at the same time.,5
Great price on home insurance.,Great price on home insurance.,5
Quick and easy to understand,Quick and easy to understand,5
Great online experience.,Great online experience and price was the best for product.,5
Quick and easy,"Quick, easy and explained very well.",4
Easy experience and a competitive price,Easy experience and a competitive price,5
easy on line application,easy on line application,5
Excellent cover at a great price,Excellent cover at a great price. Easy to set up and great communication.,5
Easy to follow and quick on line process,Easy to follow and quick on line process,5
Quick and Easy,Very easy to arrange on line.,5
Good price & service again.,Premium very similar to last year. All cover details as required.,4
Confidence locked in,"I started to apply online but at the end I was prompted to call to confirm some details, this was most welcomed as it helped clarify some questions I was not sure about. I accepted the quote, paid and was e-mailed the documents. When I reviewed the  answers I had given about door locks, I again phoned to change one of the options, the person I spoke to was most helpful and understanding. I felt like a valued customer.",5
Easy to do and good value,Easy to do and good value,5
Easy to use website,Easy to use website.  Fair price.,5
Easy and clear application,Easy to navigate through the questions. Quick quotes with optional extras.,5
Good price.,"Very easy and straightforward to see what was included, what was extra and upgrade the policy. Much cheaper than my renewal.",5
Fast and easy ....,Fast and easy ....,5
Easy to take out policy,Easy to take out policy,5
Straight forward,Overall experience no more involved than any other quotation. Good that option to phone.,4
Good price with same cover.,Good price with same cover.,5
Great Company and Staff,"I have never come across a insurance company before as helpful and efficient as Homeprotect. Every member of staff I had the pleasure of speaking to over the last few days even when I made mistake in the start date, were polite, understanding and efficient. I cannot recommend this company enough.",5
Good clear site and good price.,Good clear site and good price.,5
Excellent service and clear cover,"I recently switched to HomeProtect for my home and contents insurance and have been really impressed so far. The setup process was straightforward, the policy documents were easy to understand, and I got the level of cover I wanted without spending hours on forms. The team were quick to answer my questions and the quote was very competitive. So far, I’ve had a smooth, stress-free experience and would happily recommend them to anyone looking for comprehensive protection and good value.",5
Very good easy to use,Very good easy to use,5
"Give them a go, you’ll not regret it","After receiving a quote from the company we had been with for many years, and never made a claim we were horrified with the renewal quote, so thought we must look for someone else, what a find Homeprotect answered promptly extremely helpful and pleasant and the price they quoted us with more cover was unbelievable less than half of the one we had, so our dealings so far with Homeprotect we would definitely recommend them.",5
Simple to sort out money arrived in…,"Simple to sort out money arrived in bank you’re quick, easy to make a claim",5
Charging £20 penalty fees if the monthly payment doesn't go through,"I booked a home insurance plan at £25.73 per month, thinking that I could cancel it any time I wished. However, this is deceiving. After 2 weeks, I received a credit agreement, which means that the plan is annual and they put you to sign this credit agreement. One of my payments failed to get paid automatically by direct debit due to my bank's fault and they immediately started sending me threatening letters, while automatically charging me £20 penalty charge. This is pathetic and despicable. I could have bought insurance elsewhere and pay month by month without any such issues or hefty obligations. I will launch a complaint with the insurance regulator, as this is serious abuse of my consumer's rights.",1
Clear to understand,Clear to understand. However some options were limited in terms of cover.,4
The lady I spoke to was very very…,The lady I spoke to was very very helpful and explained everything,5
Very positive experience with a very…,Very positive experience with a very positive result.,5
Excellent and helpful and good fair…,Excellent and helpful and good fair quote,5
WATCH OUT FOR AUTO RENEWAL!!,Be very careful with this bunch! We sold our property and did not cancel the insurance as it was close to the expiry date.   Without us knowing they set policy to auto-renew and will not refund from the day it was auto renewed and charge you £50 to cancel!   Will not ever use this company again including their parent company AXA!,1
Easy to complete online,Easy to complete online and reasonable prices,5
Wouldn't cover my property.,Wouldn't cover my property.,1
easy question and answer,easy question and answer,4
Easy to Read and Understand Information.,Easy to read and understand information / options. Very small charge for monthly payment choice over one off annual payment. Quick and easy to arrange cover with a really good price quoted (and taken up....). Sensible additions listed.,5
Far too soon to make any judgement.,It's absolutely ridiculous asking for a review on purchase of a policy. Such ratings are meaningless.  What we want to know is how an insurance company performs in the event of a claim.,1
Easy to set up new policy,Information on the website was easy to understand and well laid out.  The policy booklet was written in straightforward language with real life examples given regarding claims. The company offered a good value product and included items that other companies seem to exclude like unoccupancy times.,5
Yinka,The advisor got the insurance I was looking excellent service would recommend,5
Easy to make contact with customer…,"Easy to make contact with customer helpline. Customer advisor, Hannah, who I spoke to earlier today was friendly and professional over the phone. I was very pleased with her help and advice.",5
Easy online process,"Easy online process, very competitive cost",5
Efficient,Efficient. Straight forward. And easy to navigate,5
easy to apply and faith in the policy,easy to apply and faith in the policy,5
Easy to seek quote & set up policy,Easy to seek quote & set up policy,4
Confused collected the information,Confused collected the information. Homeprotect turned it into an affordable policy. Process only took a few minutes,4
It was so easy to do stress free,It was so easy to do stress free,5
Easy to deal with.,Easy to deal with.. competitive prices,5
Student-Friendly Pricing and Service!,"Student-friendly pricing, great communication and support service. I would definitely recommend Homeprotect to students!",5
Great cover at a great price,"Great cover at a great price, even cheaper at my renewal.",5
Easy and clear,I have just signed up for a new building and content policy. They made it as easy and clear as possible to navigate through the various sections. Each item is sufficiently explained and the various options well presented.,5
Phone operative great.  Live Chat operative lacking in knowledge and efficiency.,I have been a satisfied customer for years.  However I needed to make some changes to my policy.   I used the Live Chat function to report those changes.  The operative was extremely slow and lacking knowledge. That process took about an hour.  When I received the new documents there were still mistakes present.   So I phoned instead and got Kim.  They were knowledgeable and efficient.  The changes were effected swiftly.  A much better and more efficient process.   Full marks for Kim.  Nil points for the Live Chat operative.,4
Easy to use!,Easy to use!,5
I rated this 4 stars because of the…,"I rated this 4 stars because of the automatic renewal policy, there is nowhere on website to delete this.",4
Just bought another insurance product,"Just bought another insurance product. Not my first choice for fun activities but Hannah at Homeprotect was so helpful, it was easy.  I needed a specific product with certain features and she was brilliant, explained everything and was really helpful. Great customer service. I would definitely recommend them.",5
Good cover at a reasonable price,Good cover at a reasonable price,5
Useful cover for an unoccupied house,Provided what I needed without complications,5
It’s easy to use although it didn’t…,It’s easy to use although it didn’t take my first attempt at paying!!,5
The process was quick to complete,The process was quick to complete and the insurance met my needs exactly,4
Good Price and easy to purchase,Good Price and easy to purchase,4
45% increase in Premium,45% increase in Premium when inflation the last year has been 3.8%.  When we asked why 45%  we got read out a load of pre scripted vague garbage about how expensive things are now.  I own and manage property so I know exactly how expensive it is to repair and rebuild and its a fact inflation has remained pretty flat the last 12 months. CPI is around 3.8%.  Before then costs were increasing but we had increases in premiums then too.  Gouging is whats happening here  nothing more That's basically what they are doing.,1
easy to use the website,easy to use the website,5
Simple and straight forward.,Simple and straight forward.,5
Homeprotect are a company you can trust.,I have been with Homeprotect for 6 years now. For so long I had to change insurance companies every year as they jacked up the prices. Through the years Homeprotect have increased the premiums only in a moderate way. They are therefore a company I can trust. I have found them obliging when I request that I am not automatically re-instated each year and the are pleased to send me a hard copy of my insurance.,5
After a driving conviction,After a driving conviction in our household I realised this impacted on our ability to get reasonably priced Houshold insurance. Home protect took the conviction into account as we declared but didn't top whack the insurance like others. We also got the cover we wanted for less than half the price of other insurers,5
Respectful,"Respectful, Knowledgeable and Professional",5
Good service,Good service - Lower price than LV,5
Easy to understand,Easy to understand . Add ons are clear and the locks and technical.issues are made very clear and competitive findings,5
All good,All good. Would use again,5
Purchasing home insurance made easy,Purchasing home insurance was straightforward enough using the Home Protect app.,5
Easy website quote facility and very…,Easy website quote facility and very competitive quote,5
Have found Homeprotect very good…,"Have found Homeprotect to be a good insurance company, they offered a competitive renewal price which meant I didn't need to try to shop around for long before deciding to stay with the quote.",5
"Easy, comprehensive and quick","Easy, straightforward, comprehensive information and quick to arrange.",5
Price and ease.,Price and ease.,5
Simple and straightforward.,Simple and straightforward.,5
Excellent cover and price…,"Excellent cover and after the add ons, still the cheapest, well worth getting a quote.",5
Hidden extras,starting with. policy value via go compare at under £300 and ended up at just over 400 leaves me to assume you have hidden some of the tradionally covered values to enhance your income. Not pure delight for an annual household policy. well give it a try this year.,4
Really efficient,Really efficient,4
Easy and understandable questions,Easy and understandable questions,5
Very easy to use,Very easy to use,5
The chat line was good they answered…,The chat line was good they answered all my questions adequately.,4
ease of filling in all details and price,ease of filling in all details and price,5
Poor customer service,"I haven’t claimed on the insurance. I have no idea how that would work but due to an error with my bank the direct debit was returned and they charged me £25 for the privilege. Disappointed they didn’t try again the following day as it would’ve gone through fine, but I guess that’s insurance companies for you just want your money.",2
Good service.,Good service.,4
Customer service really good,Customer service really good Got what we needed,5
All quotes set out in a form which made…,All quotes set out in a form which made it easy to understand and compare. Only takes a few minutes to arrange cover for the next year.,5
Just wanted a quote - awful response,"My mother-in-law died in March and SAGA allowed her insurance to continue under reduced terms. As we have not sold the flat yet we are looking for ""unoccupied"" insurance, and Homeprotect came up in a search. So I filled in all my details and was presented with this quote:  For around £300 they will cover: The flat being hit by an Aircraft The flat being struck by lightning or an earthquake A fire or explosion in the unoccupied flat and some public and staff liabilities.  Now, I'm not an actuary but I don't think these are common events.  What they don't cover includes the things I'm looking for in unoccupied flat insurance: Storm or flood Accidental damage Theft Escape of water or oil Aerials & falling objects Malicious damage Frost or weight of snow Subsidence or tree roots Collisions with wild animals or vehicles Damage by emergency services  So almost no cover for £300, how are they still in Business?",1
Very easy system to use,Very easy system to use. Clear & precise content. Good value,5
Pensioners can do computer forms.,I find all computer forms difficult. But think that is an age thing being in my late seventies. Once completed it became easier.,4
Really easy to navigate website,Really easy to navigate website,5
