Title,Content,Stars
Simply ‘good old fashioned ‘home…,Simply ‘good old fashioned ‘home insurance’…,5
Great service,Claire was prompt and helpful in dealing with everything.  Everything I needed way covered quickly and the team were really reassuring when I first filed my claim.,5
Reasonable price for premium policy,Reasonable price for premium pol,5
30% increase in price in 3 months on a like for like quote with longstanding customer,Just had a new quote from them following the last one in Sept. Exactly the same quote no changes except for a 30% increase in cost from Sept. 3 months. Ridiculous and not justifiable for sure!!   What do you mean further information request? Where have you asked me for this please?,1
Really good,Really good,5
easy to follow instruction,easy to follow instruction,5
Really easy to get cover easy to follow…,Really easy to get cover easy to follow instructions,5
Very expensive,"Very expensive, only renewed due to auto-renew!",2
All good,"All good, Happy Christmas!",4
Sam was the man!,"I took up a quote for building insurance online (there was an issue with the final stage) I then went through the process again and was told I could not be offered insurance.  This made me feel very vulnerable as I had canceled my current policy in favor of this new one.  Also, I have PTSD that make me feel very vulnerable when my stability is challenged in anyway.  So I ring and get through to Sam - who was patient and asked me if I had any need for extra support from him during the call.  I explained the history and how PTSD leaves me feeling - I can honestly say his call handling interpersonal skills through the call were a credit to him and Homeprotect.  I told Sam I have a high bar in terms of Coustomer Service and that he deserved the recognition I gave.  Well done Sam you are a champion high jumper!!",5
Straightforward experience and very…,Straightforward experience and very competitive,5
Home Contents Insurance,Easy to use and clear cover details,5
the process was easy to use,the process was easy to use,5
Easy to access,Easy to access,5
Easy and quick,Easy and quick,5
All very simple to do,All very simple to do. Great price and communication was good. would certainly recommend Home Protect to others. They are also good at emailing  about things to do in winter etc.,5
Very easy o use,Very easy o use,5
The price shown showed Contents with…,"The price shown showed Contents with accidental damage as a green tick. However, the accidental damage element required me to upgrade from Basic and pay an extra £7. Not earth shattering but is this legal under consumer law?",3
HomeProtect on-line has saved the day and my sanity ….,"Having been let down earlier today by a previous insurer who cancelled my policy due to non-payment, despite me advising then weeks ago of change of policy information & of all my details for contact. Rather than contacting me by my email (which they had) they just cancelled it after sending a letter to the insured address not at my own different address. They told me I’d to wait 5 days to reinstate it, through no fault of my own - which I wasn’t prepared to do - their loss!  I am now so pleased that my recently deceased mums property is now back to being insured again.   Thank you Homeprotect & … I can now sleep at night again !!",4
Everything just straightforward,Everything just straightforward and easy to follow / understand.  Not the cheapest Insurance I could find but the one I felt was right for me.,5
It was very good.,It was very good.,5
Very straightforward,"Very straightforward, easy to understand.",5
Absolutely recommend this company,"Absolutely recommend this company. Amazing quick response, & found me a solicitor that was really really good. Really helpful friendly staff who advised me on quote at very start and efficient informative emails. Now got the keys and completed in less than 3 months so super job, thank you very much!",5
Very easy to understand your web pages…,Very easy to understand your web pages and requirements,5
Easy form and clear explanation with good price,Easy form and clear explanation with good price,5
A Very Good Company,Been with Home Protect for some years now. Always found the cost very competitive and their support and claims service excellent.,5
very helpful,easily understood and to follow,5
Great value -,Great value -,5
Professional Service,Everything was explained and all my questions were answered professionally and courteously. I was given all the advice I needed to make sure I was satisfied with the quote I was given. The price was very competitive and I was covered for all eventualities.,5
Great company. Attentive and fair,Great company. We had to bring our insurance policy forward by two days because our solicitor wanted to exchange. Home Protect organised matters quickly and wouldn’t even charge for the additional days or the extra administration. Unlike other companies I’ve used that charge every time an alteration is made to a policy. Delighted.,5
The experience was good,"The experience was good - everything was clear and easy to understand.  The process was quick, the coverage options and costs were explained, and I felt confident that I was getting the right protection for my home.",5
Easy,Easy to buy a policy,5
